,Authors,Citations,Date,Full Text Available,Journal,Stats,Summary,Title,Journals,First Author
567,"H Altenbach, VA Eremeye",53,2009,[PDF] archives-ouvertes.fr,Acta Mechanica,"H Altenbach, VA Eremeyev - Acta Mechanica, 2009 - Springer","… There are two types of metal or polymer foams. One is the closed-cell foam, while the second
one is the open-cell foam. The defining characteristic of the foams is the very high porosity:
typically well over 80, 90 and even 98% of the volume consists of void spaces …",On the bending of viscoelastic plates made of polymer foams,Acta Mechanica,H Altenbach
568,"A Inayat, J Schwerdtfeger, H Freund, C Körner",73,2011,No,Chemical engineering …,"A Inayat, J Schwerdtfeger, H Freund, C Körner… - Chemical engineering …, 2011 - Elsevier","… 1. Introduction. Open-cell foams (ceramic or metal) offer remarkable properties such as a … For the
application of foam structures as catalyst support in chemical engineering, the knowledge of their
specific surface area and their pressure drop properties is extremely important …",Periodic open-cell foams: pressure drop measurements and modeling of an ideal tetrakaidecahedra packing,Chemical engineering …,A Inayat
569,"SA McDonald, PM Mummery, G Johnson",31,2006,[PDF] wiley.com,Journal of …,"SA McDonald, PM Mummery, G Johnson… - Journal of …, 2006 - Wiley Online Library","… Work has been carried out to characterize quantitatively the cellular morphology of metal foams
in terms of cell size/volume distribution, cell wall thickness … whereas 3D work has been carried
out looking at the deformation behaviour and fracture of open‐cell nickel foams …",Characterization of the three‐dimensional structure of a metallic foam during compressive deformation,Journal of …,SA McDonald
570,"T Fiedler, IV Belova, GE Murc",20,2012,No,International journal of heat and mass …,"T Fiedler, IV Belova, GE Murch - International journal of heat and mass …, 2012 - Elsevier","… by Wang and Pan who used Lattice Boltzmann analysis to predict the conductivity of open-cell
porous foams [8 … models and the three different categories of cellular metals: thick-walled,
thin-walled and open-celled structures … M-Pore® cellular metal falls into the latter category …",Critical analysis of the experimental determination of the thermal resistance of metal foams,International journal of heat and mass …,T Fiedler
571,"K Mohan, TH Yip, I Sridhar, HP Seo",37,2007,No,Journal of materials science,"K Mohan, TH Yip, I Sridhar, HP Seow - Journal of materials science, 2007 - Springer","… densities using various manufacturing techniques [1]. Depending on the process technique
employed, either open cell structure or closed cell structure can … Most of the previous studies on
sandwich structures comprising metal foam cores by various researchers focused on …",Effect of face sheet material on the indentation response of metallic foams,Journal of materials science,K Mohan
572,"B Jiang, C He, N Zhao, P Nash, C Shi, Z Wan",14,2015,[HTML] nature.com,Scientific reports,"B Jiang, C He, N Zhao, P Nash, C Shi, Z Wang - Scientific reports, 2015 - nature.com","… Figure 1 illustrates the fabrication scheme of the ultralight Ag, Ni, Co, Cu foams … The melamine
resin foam is an extremely open-cell foam with highly hydrophilic properties, which are
advantageous … to the electoless plating to provide a surface that can interact with metal ions in …",[HTML][HTML] Ultralight metal foams,Scientific reports,B Jiang
573,"T Braun, AB Fara",38,1975,No,Analytica Chimica Acta,"T Braun, AB Farag - Analytica Chimica Acta, 1975 - Elsevier","… Recent work in this laboratory has been concerned with the preparation of plasticized open-cell
polyurethane foam immobilizing various organic reagents for the detection, semiquantitative
determination, quantitative collection and precon- centration of several metal ions …",Plasticized open-cell polyurethane foam as a universal matrix for organic reagents in trace element preconcentration: part III. Collection of cobalt traces on 1-nitroso-2 …,Analytica Chimica Acta,T Braun
574,"DL Duan, RL Zhang, XJ Ding, S L",15,2006,No,Materials Science and …,"DL Duan, RL Zhang, XJ Ding, S Li - Materials Science and …, 2006 - Taylor & Franci","… in metal foam with higher porosity and relatively lower S/V. The S/V from pressure drop method
is influenced strongly by the gas or liquid flow path. In the present paper, a simple geometrical
model is presented, which is suitable for measuring S/V of metal foams with open cell …",Calculation of specific surface area of foam metals using dodecahedron model,Materials Science and …,DL Duan
575,"N Bekoz, E Okta",39,2012,No,Journal of Materials Processing Technology,"N Bekoz, E Oktay - Journal of Materials Processing Technology, 2012 - Elsevier","… plateau regions with nearly constant flow stresses to large strains are an indication of open cellular
morphology … Pore walls are assumed to be solid metal in the model … large pores, anisotropic pore
structure and non uniform foam density, and micropores in cell walls significantly …",Effects of carbamide shape and content on processing and properties of steel foams,Journal of Materials Processing Technology,N Bekoz
576,ST Le,196,2004,No,Polymeric foams,"ST Lee - Polymeric foams, 2004 - taylorfrancis.com","… Moreover, natural sponge, with its open cell structure, is a useful product in absorbing … Metal foam,
polymeric foam, paper foam, and ceramic foam have been developed for unique … Presently, foam
extrusion, injection molding, molded bead, x-linked foam, reactive foaming, and …","Introduction: polymeric foams, mechanisms, and materials",Polymeric foams,
577,"Z Nie, Y Lin, Q Ton",12,2017,[PDF] researchgate.net,International Journal of Heat and Mass Transfer,"Z Nie, Y Lin, Q Tong - International Journal of Heat and Mass Transfer, 2017 - Elsevier","… Diani et al. [19] numerically investigated the pressure drop and heat transfer through metal foams
with non … Mendes et al. [20] measured the effective thermal conductivity of 10 ppi open cell alumina
foams … The detailed foam structures were reconstructed with 3D CT-scan images …",Numerical investigation of pressure drop and heat transfer through open cell foams with 3D Laguerre-Voronoi model,International Journal of Heat and Mass Transfer,Z Nie
578,"K Mohan, TH Yip, S Idapalapati, Z Che",49,2011,No,Materials Science and …,"K Mohan, TH Yip, S Idapalapati, Z Chen - Materials Science and …, 2011 - Elsevier","… core and Al alloy face sheets by roll-bonding Al alloy sheets to a densified mixture of metal
powders and … Performance of Al foam as core of sandwich using Al face sheets under low and
high impact loading were … [10] found that bi-layered bumpers made with open cell Al foam …",Impact response of aluminum foam core sandwich structures,Materials Science and …,K Mohan
579,"R Prieto, E Louis, JM Molin",20,2012,No,Carbon,"R Prieto, E Louis, JM Molina - Carbon, 2012 - Elsevier","… since the foams of this work were intentionally fabricated with an average open cell diameter
comparable to … In fact, these foams get complete metal saturated at a nominal pressure as low
as … foams, while huge pressures of more than 2 MPa are required for the commercial foam …",Fabrication of mesophase pitch-derived open-pore carbon foams by replication processing,Carbon,R Prieto
580,"AG Straatman, NC Gallego",38,2007,No,Journal of …,"AG Straatman, NC Gallego… - Journal of …, 2007 - … .asmedigitalcollection.asme.org",2,Characterization of porous carbon foam as a material for compact recuperators,Journal of …,AG Straatman
581,"A Kim, K Tunvir, GD Jeong",21,2006,No,Modelling and Simulation …,"A Kim, K Tunvir, GD Jeong… - Modelling and Simulation …, 2006 - iopscience.iop.org","… 7] investigated the changes in the plateau stress and energy absorption of metal foam during
compression … Recently, real 3D structures of the open cell and closed cell foams using CT
(computer … big cells, indicating that more material has flown into the small cell surrounded by …",A multi-cell FE-model for compressive behaviour analysis of heterogeneous Al-alloy foam,Modelling and Simulation …,A Kim
582,"YP Du, CY Zhao, Y Tian, ZG Q",12,2012,[PDF] herts.ac.uk,Heat and Mass Transfer,"YP Du, CY Zhao, Y Tian, ZG Qu - Heat and Mass Transfer, 2012 - Springer","… Boomsma et al. [8] defined an innovative microstructure of metal foams and then developed a
special method for simulating flow and heat transfer in open-cell metal foams. The pressure loss
and velocity distribution in foam-filled channels were investigated, which were 25 …",Analytical considerations of flow boiling heat transfer in metal-foam filled tubes,Heat and Mass Transfer,YP Du
583,"E Pardieu, NTT Chau, T Dintzer, T Romero",20,2016,No,Chemical …,"E Pardieu, NTT Chau, T Dintzer, T Romero… - Chemical …, 2016 - pubs.rsc.org","… 1 Among the variety of SCSs, ceramic or metallic open cell foams are prime candidates, which
fulfill … when necessary, the activation of the catalytic phase (usually metallic or metal oxide particles …
and (iii) the recovery of the catalyst adsorbed on the foam necessitates numerous …","Polydopamine-coated open cell polyurethane foams as an inexpensive, flexible yet robust catalyst support: a proof of concept",Chemical …,E Pardieu
584,"A Jung, H Natter, R Hempelmann",12,2012,No,US Patent App. 13 …,"A Jung, H Natter, R Hempelmann… - US Patent App. 13 …, 2012 - Google Patent","… [0021]. Often the raw open cell porous structure is a reticulated foam made from an organic
polymeric material, a silicone, a ceramic or a metal. Metal foams are available from a number
of suppliers, e,g, ERG Materials and Aerospace Corporation, Oakland, Calif., USA, Norsk …",Metal foams,US Patent App. 13 …,A Jung
585,"D Baillis, M Raynaud, JF Sacadur",57,2000,No,Journal of thermophysics and heat …,"D Baillis, M Raynaud, JF Sacadura - Journal of thermophysics and heat …, 2000 - arc.aiaa.org","… These authors consider particle modelingmorerepresentativeoftheactualgeometry.Itwasobtained
from the foam geometry description and from microscopic analysis of carbon open cell foams
(Fig. 1). Struts with varying thickness and strut junctures were considered …",Determination of spectral radiative properties of open cell foam: model validation,Journal of thermophysics and heat …,D Baillis
586,"F Han, H Cheng, Q Wang, Z L",22,2005,[PDF] hfcas.ac.cn,Metallurgical and Materials Transactions …,"F Han, H Cheng, Q Wang, Z Li - Metallurgical and Materials Transactions …, 2005 - Springer","… low-density open cell 6061 Al foam, while Kanahashi and Mukai also showed evidence that the
strength of an open cell SG91A aluminum foam increased with increasing strain rate.[9] Although
there seems to be no general trend in the strain rate sensitivity of metal foams, it has …",The strain rate effect of an open cell aluminum foam,Metallurgical and Materials Transactions …,F Han
587,"I Duarte, J Ferreir",38,2016,[PDF] mdpi.com,Materials,"I Duarte, J Ferreira - Materials, 2016 - mdpi.com","… The reinforced foams are compared to the conventional open-cell foams and closed-cell foams …
In this regard, ceramic particles in metal foams play a stabilizing role similar to that of surfactants
in many … particles (eg, SiC and Al 2 O 3 ) are required to fabricate closed-cell Al-alloy …",Composite and nanocomposite metal foams,Materials,I Duarte
588,"S Arisetty, AK Prasad, SG Advan",104,2007,[PDF] semanticscholar.org,Journal of Power Sources,"S Arisetty, AK Prasad, SG Advani - Journal of Power Sources, 2007 - Elsevier","… promotes CO 2 removal from the underlying GDL and catalyst layer and helps to open expose
new … Therefore, higher convective transport with increasing density improves the cell performance …
It should be noted that the flow rate of methanol through metal foams in this set of …",Metal foams as flow field and gas diffusion layer in direct methanol fuel cells,Journal of Power Sources,S Arisetty
589,"K Ji, H Zhao, Z Huang, Z Da",14,2014,[PDF] academia.edu,Materials Letters,"K Ji, H Zhao, Z Huang, Z Dai - Materials Letters, 2014 - Elsevier","… Open-cell foam of a Cu–Ni alloy integrated with graphene was used as a lightweight, multilayered …
a GNS layer (foamed Cu–Ni–GNS) is expected to extend metal-based EMI … Tengfei Sponge Factory,
China) were used as precursors, and they possessed open-cell structures with …",Performance of open-cell foam of Cu–Ni alloy integrated with graphene as a shield against electromagnetic interference,Materials Letters,K Ji
590,"AH Astaraie, HR Shahverdi, SH Elah",15,2015,No,Transactions of Nonferrous Metals …,"AH Astaraie, HR Shahverdi, SH Elahi - Transactions of Nonferrous Metals …, 2015 - Elsevier","… Appearance of experimental data close to the model line for open-cell foams in Figs … [20] ASM
Metal's Handbook [M]//Properties … [21] RAJ RE, DANIEL BS S. Structural and compressive property
correlation of closed-cell aluminum foam [J]. J Alloys Compd, 2009, 467: 550−556 …",Compressive behavior of Zn–22Al closed-cell foams under uniaxial quasi-static loading,Transactions of Nonferrous Metals …,AH Astaraie
591,"X Hu, SS Patnai",21,2014,No,International Journal of Heat and Mass Transfer,"X Hu, SS Patnaik - International Journal of Heat and Mass Transfer, 2014 - Elsevier","… Metal or graphite foams [1] filled with phase change materials (PCM) are attractive for thermal
energy … 7). The flux is increased at the top surface, contributed principally by the micro-foam … studied
the heat transfer behavior of a phase change material in an open-cell micro-foam …",Modeling phase change material in micro-foam under constant temperature condition,International Journal of Heat and Mass Transfer,X Hu
592,"PS Liu, HB Qing, HL Ho",28,2015,No,Materials & Design,"PS Liu, HB Qing, HL Hou - Materials & Design, 2015 - Elsevier","… As compared with this open-cell reticulated structure, cellular titanium foams have been quite
rarely … Besides, metal foams have been developing for lower bulk density and higher porosity
on the basis … With nickel as the main alloy element, the titanium foam could be prepared by …",Primary investigation on sound absorption performance of highly porous titanium foams,Materials & Design,PS Liu
593,"MA Islam, MA Kader, PJ Hazell, AD Brown",17,2016,No,Materials Science and …,"MA Islam, MA Kader, PJ Hazell, AD Brown… - Materials Science and …, 2016 - Elsevier","… strength properties of closed-cell metallic foams are currently unavailable in the open literature …
In short, the particles agglomeration on the cell wall of the foam can be random … Closed cell metal
foams without particles are not possible since the stabilization of foaming is inherently …",Investigation of microstructural and mechanical properties of cell walls of closed-cell aluminium alloy foams,Materials Science and …,MA Islam
594,"Z Wu, C Caliot, G Flamant, Z Wan",147,2011,No,Solar Energy,"Z Wu, C Caliot, G Flamant, Z Wang - Solar Energy, 2011 - Elsevier","… Author links open overlay panelZhiyongWu a CyrilCaliot b GillesFlamant b ZhifengWang a …
radiative heat transfers due to concentrated solar radiation absorption by the ceramic foam and
the … studies were conducted to analyze the effects of velocity, porosity, mean cell size and …",Coupled radiation and flow modeling in ceramic foam volumetric solar air receivers,Solar Energy,Z Wu
595,"X Xia, J Feng, J Ding, K Song, X Chen, W Zhao, B Liao",20,2015,No,Materials & Design,"X Xia, J Feng, J Ding, K Song, X Chen, W Zhao, B Liao… - Materials & Design, 2015 - Elsevier","… foams (without spherical particles) and it has been improved that magnesium metal foams have
the … mechanical properties of space holder particles as well as the resultant foam were also …
prepared open-cell Mg foams by replication process and the mechanical properties of the …",Fabrication and characterization of closed-cell magnesium-based composite foams,Materials & Design,X Xia
596,"OE Sotomayor, HV Tippu",20,2014,[PDF] semanticscholar.org,Acta Materialia,"OE Sotomayor, HV Tippur - Acta Materialia, 2014 - Elsevier","… 1. Voronoi foam with 341 cells from a regular body-centered arrangement of … Attempts to
computationally investigate foams using finite-element (FE) methods range from homogenization …
An efficient approach to model open-cell metal foams is by using a planar-faced isotropic …",Role of cell regularity and relative density on elastoplastic compression response of 3-D open-cell foam core sandwich structure generated using Voronoi diagrams,Acta Materialia,OE Sotomayor
597,"JF Rakow, AM Waa",32,2007,[PDF] umich.edu,AIAA journal,"JF Rakow, AM Waas - AIAA journal, 2007 - arc.aiaa.org","… inconel 625 face sheets, 1 mm (0.04 in.) thick, with an inconel 625 foam core that has a thickness
of 6.4 mm (0.25 in.), a relative density of f 8% (the relative density is the density of the foam divided
by the density of the parent material of the foam and is … 2 Open-cell metal foams …",Response of actively cooled metal foam sandwich panels exposed to thermal loading,AIAA journal,JF Rakow
598,"F Diologent, E Combaz, V Laporte, R Goodall, L Weber",16,2009,No,Scripta Materialia,"F Diologent, E Combaz, V Laporte, R Goodall, L Weber… - Scripta Materialia, 2009 - Elsevier","… One of the most attractive features of open-cell metal foams is that these allow fluid transport
within their pores … management applications where a flowing liquid is used to evacuate heat that
is transported, by conduction through the metal, across the foam away from a …",Processing of Ag–Cu alloy foam by the replication process,Scripta Materialia,F Diologent
599,"S Moghaddam, M Ohadi, J Q",24,2003,No,ASME 2003 …,"S Moghaddam, M Ohadi, J Qi - ASME 2003 …, 2003 - … .asmedigitalcollection.asme.org","… Figure 2 shows cell structure of a 30 ppi copper foam … The open structure of the cells allows the
liquid to enter and the vapor to leave the structure … Metal foams in general have a very low specific
weight and their mass producibility makes them highly appropriate for light weight …",Pool boiling of water and FC-72 on copper and graphite foams,ASME 2003 …,S Moghaddam
600,"M Odabaee, S Mancin, K Hooma",47,2013,No,Experimental thermal and fluid science,"M Odabaee, S Mancin, K Hooman - Experimental thermal and fluid science, 2013 - Elsevier","… designed and manufactured at the University of Queensland, consists of an open air wind …
replacements for water-cooled heat exchangers with application to PEM fuel cell systems … been
conducted to examine the heat transfer enhancement from a metal foam plate sandwiched …",Metal foam heat exchangers for thermal management of fuel cell systems–An experimental study,Experimental thermal and fluid science,M Odabaee
601,"M Vesenjak, M Borovinšek, Z Ren, S Irie, S Ito",11,2012,[PDF] mdpi.com,Metals,"M Vesenjak, M Borovinšek, Z Ren, S Irie, S Itoh - Metals, 2012 - mdpi.com","… Previous Article in Special Issue The Role of Foaming Agent and Processing Route in the … was
to investigate the material and structural properties of submerged open-cell aluminum foam …
Keywords: metal foam; shock wave loading; experimental testing; dynamic simulation …",Behavior of Metallic Foam under shock wave loading,Metals,M Vesenjak
602,"DY Gao, ZQ Chen, MH Shi, ZS W",19,2010,No,Science China Technological …,"DY Gao, ZQ Chen, MH Shi, ZS Wu - Science China Technological …, 2010 - Springer","… is developed for the melting process of phase change material (PCM) embedded in open-cell
metal foams … The melting front locations and the temperature distributions in the metal foams filled
with PCM … The re- sults indicate that the effects of foam porosity play important roles …",Study on the melting process of phase change materials in metal foams using lattice Boltzmann method,Science China Technological …,DY Gao
603,"YB Tao, Y You, YL H",41,2016,No,Applied Thermal Engineering,"YB Tao, Y You, YL He - Applied Thermal Engineering, 2016 - Elsevier","… Gao et al. [25] proposed a thermal lattice Boltzmann model for simulating the melting
with natural convection in open-cell metal foams … However, the existence of metal foams
has dual effects on the performance of metal foam CPCM …",Lattice Boltzmann simulation on phase change heat transfer in metal foams/paraffin composite phase change material,Applied Thermal Engineering,YB Tao
604,"K Boomsma, D Poulikako",607,2001,[PDF] psu.edu,International Journal of Heat and Mass …,"K Boomsma, D Poulikakos - International Journal of Heat and Mass …, 2001 - Elsevier","… gravel layers, to foam insulation, and recently, to the novel application of open celled metal …
structure [2] to the markedly more complex three-dimensional structure, which real metal foams
possess … 1a). This complete cell which consists of six squares and eight hexagons was first …",On the effective thermal conductivity of a three-dimensionally structured fluid-saturated metal foam,International Journal of Heat and Mass …,K Boomsma
605,"MJ Pryor, TJ Gra",76,1976,No,US Patent 3,"MJ Pryor, TJ Gray - US Patent 3,947,363, 1976 - Google Patent","… Claims (12). What is claimed is: 1. A high temperature resistant ceramic foam filter for use in
filtering molten metal having an open cell structure characterized by a plurality of … DE3000835A1
(en) *, 1979-10-09, 1981-04-30, Alusuisse, Ceramic foam filter for filtering molten metal …",Ceramic foam filter,"US Patent 3,947,363",MJ Pryor
606,"LP Lefebvre, J Banhart, D Dunan",19,2007,[PDF] helmholtz-berlin.de,… metals and metallic foams,"LP Lefebvre, J Banhart, D Dunand - … metals and metallic foams, 2007 - helmholtz-berlin.de","… RF Singer Laser Induced Foaming of Pure Titanium with Biocompatible Foaming Agents … and
DJ Morrison Inhomogeneous Deformation and Fracture of Aluminum Foam under Uniaxial … M.
Mabuchi and H. Watanabe Multi-scale Modelling of Fracture in Open-cell Metal Foams …",[PDF][PDF] Porous metals and metallic foams,,LP Lefebvre
607,"DW Gibbons, MF Cahil",40,2002,No,US Patent 6,"DW Gibbons, MF Cahill - US Patent 6,383,687, 2002 - Google Patent","… B29C44/00—Shaping by internal pressure generated in the material, eg swelling or foaming ;
Producing porous or cellular … A continuous production process for preparing a preferred metal
foam support member in sheet form using an open-cell foam plastic sheet as a …",Production of a porous foam product for battery electrodes,"US Patent 6,383,687",DW Gibbons
608,"N Dukhan, S Bodk",18,2010,No,2010 12th IEEE intersociety conference …,"N Dukhan, S Bodke - 2010 12th IEEE intersociety conference …, 2010 - ieeexplore.ieee.org","… Aluminum foams applications range from heat exchange, energy absorption, flow diffusion and
lightweight … these issues by combing a PCM (Paraffin wax) with open-cell aluminum foam … Dukhan,
“Correlations for the Pressure Drop for Flow through Metal Foam,” Experiments in …",An improved PCM heat storage technology utilizing metal foam,2010 12th IEEE intersociety conference …,N Dukhan
609,"R Oriňáková, A Oriňák, LM Bučková",21,2013,[PDF] electrochemsci.org,Int. J. Electrochem …,"R Oriňáková, A Oriňák, LM Bučková… - Int. J. Electrochem …, 2013 - electrochemsci.org","… experiments conducted at 37°C indicated the increased biodegradation rates resulted from porous
structure of foam samples … Keywords: open cell foams, iron, powder metallurgy, corrosion,
cytotoxicity … Biodegradable metal alloys play a key role in the repair or the replacement of …",[PDF][PDF] Iron based degradable foam structures for potential orthopedic applications,Int. J. Electrochem …,R Oriňáková
610,"A Kim, I Ki",16,2008,No,Acta Mechanica Solida Sinica,"A Kim, I Kim - Acta Mechanica Solida Sinica, 2008 - Springer","… References [1] Olurin,OB, Fleck,NA and Ashby,MF, Metal Foam and Porous Metal Structures.
Bremen, Germany: Verlag MIT Publishing, 1999 … [3] Nieh,TG, Higashi,K. and Wadsworth,J., Effect
of cell morphology on the compressive properties of open- cell aluminum foams …",Effect of specimen aspect ratio on fatigue life of closed cell Al-Si-Ca alloy foam,Acta Mechanica Solida Sinica,A Kim
611,N Michailidi,22,2011,[PDF] academia.edu,Materials Science and Engineering: A,"N Michailidis - Materials Science and Engineering: A, 2011 - Elsevier","… and monitor the compression tests in situ and acquire images of the deformed metal foam struts …
3. FEM model simulating the foams' mechanical response. The finite element analysis of
open-cell Ni-foams' compression was conducted employing DEFORM 3D software package …",Strain rate dependent compression response of Ni-foam investigated by experimental and FEM simulation methods,Materials Science and Engineering: A,
612,"A Bhattacharya, RL Mahaja",211,2002,No,Transactions …,"A Bhattacharya, RL Mahajan - Transactions …, 2002 - … .asmedigitalcollection.asme.org","… since in the metal foam channels, flow and heat transfer mechanisms are quite different than
those in open channels 23,24. In order to investigate these matters and to establish a general-
ized formulation for heat transfer from such finned metal foams, experimental studies …",Finned metal foam heat sinks for electronics cooling in forced convection,Transactions …,A Bhattacharya
613,"H Yang, M Zhao, ZL Gu, LW Jin, JC Cha",10,2015,[PDF] hud.ac.uk,International Journal of Heat and …,"H Yang, M Zhao, ZL Gu, LW Jin, JC Chai - International Journal of Heat and …, 2015 - Elsevier","… 412-422. [3] M. Wang, N. PanModeling and prediction of the effective thermal conductivity of
random open-cell porous foams. Int. J. Heat Mass Transfer, 51 (5) (2008), pp. 1325-1331. [4]
N. Dukhan, KC ChenHeat transfer measurements in metal foam subjected to constant heat …",A further discussion on the effective thermal conductivity of metal foam: An improved model,International Journal of Heat and …,H Yang
614,"D Guan, JH Wu, J Wu, J Li, W Zha",22,2015,[PDF] researchgate.net,Applied Acoustics,"D Guan, JH Wu, J Wu, J Li, W Zhao - Applied Acoustics, 2015 - Elsevier","… The dissipation mechanism of sound in the open-cell foams is mainly viscous and thermal losses …
GRNN) model of the sound absorption for aluminum foams with semiopen cell is present … the
potential use of GRNN for estimating the sound absorption coefficients of metal foams …",Acoustic performance of aluminum foams with semiopen cells,Applied Acoustics,D Guan
615,S Amja,20,2001,[PDF] cam.ac.uk,Adissertation submitted for the degree of …,"S Amjad - Adissertation submitted for the degree of …, 2001 - phase-trans.msm.cam.ac.uk","… behaviour of open cell foams. For closed cell foams the deformation of the cell faces as well
as the cell edges and the response of the fluid (usually gas) within the cells … There are a number
of processing routes available for the manufacture of metal foams …",[PDF][PDF] Thermal conductivity and noise attenuation in aluminium foams,Adissertation submitted for the degree of …,
616,"SA Rickles, JK Cochran",14,2009,No,Proceedings of the 13t h …,"SA Rickles, JK Cochran… - Proceedings of the 13t h …, 2009 - books.google.com","… For example, foams, either open cell or closed cell, are lightweight structures consisting
of a matrix material which can be a polymer, metal, or ceramic containing a distribution
of voids. If the voids are interconnected, the foam is 1472 Page 452 …",The production and compressive characteristics of a low density syntactic metal/ceramic foam,Proceedings of the 13t h …,SA Rickles
617,"L Tuchinskiy, R Loutf",18,2004,No,Materials & Processes for Medical …,"L Tuchinskiy, R Loutfy - Materials & Processes for Medical …, 2004 - books.google.com","… Porous scaffolds provide a support matrix for cell culture and tissue regeneration … by casting around
inorganic hollow spheres with a liquid melt [6] or using open porosity polymer … After drying, molten
metal is cast into resulting open voids, and the ceramic is dissolved leaving the …",Titanium foams for medical applications,Materials & Processes for Medical …,L Tuchinskiy
618,"M Amani, M Ameri, A Kasaeia",15,2017,No,Transport in Porous Media,"M Amani, M Ameri, A Kasaeian - Transport in Porous Media, 2017 - Springer","… Zhao et al. (2004) implemented a combined empirical and analytical method to study the heat
dissipation of highly porous open-cell metal foams subjected to forced air convection. The results
illustrated that cell size of metal foam played a significant role in the overall heat …",The experimental study of convection heat transfer characteristics and pressure drop of magnetite nanofluid in a porous metal foam tube,Transport in Porous Media,M Amani
619,NA Flec,18,2004,[PDF] cam.ac.uk,Cell Met Polym,"NA Fleck - Cell Met Polym, 2004 - www-mech.eng.cam.ac.uk","… why bending dominates the deformation of almost all common foam-like structures … Numerous
techniques have been developed for synthesizing inexpensive metal foams with stochastic … Some
utilize open cell polymer templates for investment casting, chemical vapor deposition …",[PDF][PDF] An overview of the mechanical properties of foams and periodic lattice materials,Cell Met Polym,
620,"T Braun, AB Farag, A Klim",21,1973,No,zmi,"T Braun, AB Farag, A Klimes-Szmik - Analytica Chimica Acta, 1973 - Elsevier","… A. KLIMES-SZMIK All metal salts and inorganic acids were of reagent grade and were used without
further purification. Flexible polyurethane foam, a polyether of open cell- type (North Hungarian
Chemical Works, Saj6b&bony, Hungary), was used as the supporting material …",Reversed-phase foam chromatography: Redox reactions on open-cell polyurethane foam columns supporting tetrachlorohydroquinone,Analytica Chimica Acta,T Braun
621,"MA Kader, MA Islam, PJ Hazell, JP Escobedo",17,2016,[PDF] cranfield.ac.uk,International Journal of …,"MA Kader, MA Islam, PJ Hazell, JP Escobedo… - International Journal of …, 2016 - Elsevier","… However, metal foams consist of a non-homogeneous distribution of irregular shape voids.
Unfortunately, to date there is no research published in the open literature that … explores the wave
propagation behaviour and deformation mechanics of closed-cell foams under dynamic …",Modelling and characterization of cell collapse in aluminium foams during dynamic loading,International Journal of …,MA Kader
622,"TF Fay III, R La Ferla, AJ Sherman",89,2000,No,US Patent …,"TF Fay III, R La Ferla, AJ Sherman… - US Patent …, 2000 - Google Patent","… A catalyst support consisting of an open-cell reticulated, non-oxide foam fabricated by means
of chemical … The foam support also acts as a bulk acoustic absorber for providing noise reduction.
A platinum group metal catalyst applied as a thin film which coats the ligament surfaces …",Foam catalyst support for exhaust purification,US Patent …,TF Fay III
623,"T Shimizu, K Matsuzaki, H Nagai, N Kanetak",13,2012,No,Materials Science and …,"T Shimizu, K Matsuzaki, H Nagai, N Kanetake - Materials Science and …, 2012 - Elsevier","… The PF3F and PF20F SST foams fabricated here using the SWS process have closed cell type
structure at high density, but have open cell type structure at low density … In a metal foam, λ s
depends almost entirely on thermal conductivity by the cell structure …",Production of high porosity metal foams using EPS beads as space holders,Materials Science and …,T Shimizu
624,"F Zhu, C Zhang, X Gon",20,2016,No,Applied Thermal Engineering,"F Zhu, C Zhang, X Gong - Applied Thermal Engineering, 2016 - Elsevier","… Author links open overlay panelFengZhuChuanZhangXiaoluGong. Show more … cell pore average
diameter, m. E … such as adding metal fins [6], dispersing the particles with high conductivity in PCM
[7], changing the shape of container [8] and using the metal foam as skeleton [9] …",Numerical analysis and comparison of the thermal performance enhancement methods for metal foam/phase change material composite,Applied Thermal Engineering,F Zhu
625,"G Pia, F Delog",19,2013,No,Scripta Materialia,"G Pia, F Delogu - Scripta Materialia, 2013 - Elsevier","… mostly relied upon the model proposed by Gibson and Ashby to account for the mechanical
response of open-cell macroporous foams [18], [19] … The same simplified structural unit proposed
by Liu and Antoniou is used to describe the NP metal foam structure [14] …",On the elastic deformation behavior of nanoporous metal foams,Scripta Materialia,G Pia
626,"KL Thunhorst, DA Hangg",48,2002,No,US Patent 6,"KL Thunhorst, DA Hanggi - US Patent 6,462,100, 2002 - Google Patent","… the open cell foams of the present invention may be joined by open “windows” or holes connecting
adjacent cells. All of the foams of the present invention contain functionalized metal oxide
nanoparticles. Another aspect of the invention is a cross-linked foam comprising residue …",Foams containing functionalized metal oxide nanoparticles and methods of making same,"US Patent 6,462,100",KL Thunhorst
627,"Q Ji, LH Le, LJ Filipow, SA Jackso",22,1998,No,Ultrasonics,"Q Ji, LH Le, LJ Filipow, SA Jackson - Ultrasonics, 1998 - Elsevier","… and low densities. The samples were provided by the ERG company (USA) in 2 x 2 x 1 in
(5 x 5 x 2.5 cm) blocks. The aluminum foam has an open cell structure … The solid matrix is 6010
aluminum alloy which is a homogenous, isotropic and elastic metal …",Ultrasonic wave propagation in water-saturated aluminum foams,Ultrasonics,Q Ji
